,옥수수크림수프,oksusu cream soup,オクスス・クリムスプ,玉米奶油浓汤
,옥수수제비집수프,oksusu jebijip soup,オクスス・ジェビジプスプ,燕窝玉米浓汤
,옥수수구이,oksusu gui,オクススグイ,烤玉米
,옥수수식빵,oksusu sikppang,オクススシクパン,玉米土司面包
,옥수수전,oksusu jeon,オクススジョン,玉米煎饼
,옥수수수프,oksusu soup,オクスススプ,玉米浓汤
,옥수수탕,oksusu tang,オクススタン,玉米羹
,옥수수빠스,oksusu ppaseu,オクススパス,拔丝玉米
,옥수수비빔밥,oksusu bibimbap,オクススビビンパプ,玉米拌饭
,옥수수버터구이,oksusu butter gui,オクススボトグイ,黄油烤玉米
,옥돔구이,okdom gui,オクトムグイ,烤鲷鱼
,옥돔상차림,okdom sangcharim,オクトムサンチャリム,鲷鱼套餐
,옥돔죽,okdom juk,オクトムジュク,鲷鱼粥
,옥돌돼지갈비,okdol dwaejigalbi,オクトル・デジガルビ,玉石猪排
,옥돌비빔밥,okdol bibimbap,オクトル・ビビンパプ,玉石锅拌饭
,오곡쌈밥,ogok ssambap,オゴクサンパプ,鲜菜包五谷饭
,오곡밥,ogok bap,オゴクパプ,五谷饭
,오곡밥과된장찌개,ogok bap gwa doenjang jjigae,オゴクパプクァ・デンジャンチゲ,五谷饭和大酱汤
,오곡현미육수누룽지와된장찌개,ogok hyeonmi yuksu nurungji wa doenjang jjigae,オゴッキョンミ・ユクスヌルンジワ・デンジャンチゲ,五谷糙米锅巴和大酱汤
,오골계백숙,ogolgye baeksuk,オゴルゲ・ベクスク,药膳炖乌鸡
,오골계탕,ogolgye tang,オゴルゲタン,乌鸡汤
,오삼덮밥,o sam deopbap,オサム・ドッパプ,五花肉炒鱿鱼盖饭
,오삼불고기덮밥,o sam bulgogi deopbap,オサム・ブルゴギ・ドッパプ,五花肉炒鱿鱼盖饭
,오삼불고기,o sam bulgogi,オサンブルゴギ,五花肉炒鱿鱼
,어죽,eojuk,オジュク,鱼粥
,오전(10)시이후,ojeon (yeolsi) ihu,オジョン(10)シイフ,上午(10)点以后
,오전(10)시까지,ojeon (yeolsi) kkaji,オジョン(10)シカジ,到上午(10)点为止
,오징어구운맛바,ojingeo guun mat bar,オジンオ・グウンマッパ,烤鱿鱼糕棒
,오징어전골,ojingeo jeongol,オジンオ・ジョンゴル,鱿鱼火锅
,오징어새우볶음밥,ojingeo saeu bokkeumbap,オジンオ・セウ・ボクンバプ,鱿鱼虾仁炒饭
,오징어땅콩바,ojingeo ttangkong bar,オジンオ・タンコンバ,鱿鱼花生鱼糕棒
,오징어짬뽕라면,ojingeo jjamppong ramyeon,オジンオ・チャンポンラミョン,鱿鱼炒码方便面
,오징어덮밥,Ojingeo-deopbap,オジンオ・ドッパプ,鱿鱼盖饭 
,오징어덮밥,ojingeo deopbap,オジンオ・ドッパプ,鱿鱼盖饭 
,오징어내장탕,ojingeo naejang tang,オジンオ・ネジャンタン,鱿鱼内脏汤
,오징어무국,ojingeo mu guk,オジンオ・ムクク,鱿鱼萝卜汤
,오징어야채바,ojingeo yachae bar,オジンオ・ヤチェバ,鱿鱼蔬菜鱼糕棒
,오징어/감자코너,ojingeo/gamja corner,オジンオ/カムジャコノ,鱿鱼/土豆摊位
,오징어숙회,ojingeo sukhoe,オジンオスッケ,烫鱿鱼片
,오징어순대,ojingeo sundae,オジンオスンデ,鱿鱼血肠
,오징어땅콩&견과류,ojingeo ttangkong & gyeongwa ryu,オジンオタンコン・ギョングァリュ,鱿鱼花生球&坚果
,오징어탕수육,ojingeo tangsuyuk,オジンオタンスユク,糖醋鱿鱼
,오징어채고추장볶음,ojingeochae gochujang bokkeum,オジンオチェゴチュジャン・ボクム,辣椒酱炒干鱿鱼丝
,오징어초무침,ojingeo cho muchim,オジンオチョムチム,醋拌鱿鱼
,오징어초무침소면,ojingeo cho muchim somyeon,オジンオチョムチム・ソミョン,醋拌鱿鱼龙须面
,오징어튀김,ojingeo twigim,オジンオティギム,炸鱿鱼
,오징어튀김,ojingeo twigim,オジンオティギム,炸鱿鱼
